institution,title,project_url,functioning_website,website_not_found,not_redirected_website,partially_unaccessible_website,new_website_url,url_showcase,url_showcase_working,url_landing_page,url_landing_working,provenance,knot_uri,notes,url_first_seen,url_last_seen
Bibliotheca Hertziana,Siena map,https://db.biblhertz.it/siena/siena.xql,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-01-14 14:24:44,2024-09-18 06:28:10
Regione Veneto,SIAR: A User-Centric Digital Archive System,https://siar.regione.veneto.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2017-07-17 20:59:07,2024-12-19 01:11:02
Università di Pisa,SERICA,https://serica.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/serica-project,,2022-09-04 17:16:37,2024-09-25 18:42:47
Università di Bologna,semantic digital edition of vespasiano da bisticci’s letters,http://projects.dharc.unibo.it/vespasiano/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-12-04 15:42:31,2024-08-12 22:36:27
Università di Bologna,semantic digital edition of paolo bufalini’s notebook,http://projects.dharc.unibo.it/bufalini-notebook/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-11-21 23:26:27,2024-11-27 03:31:22
Università di Pisa,S. Michele Arcangelo di Pegazzano,https://sanmichelepegazzano.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/pegazzano-project,,2020-01-02 22:53:43,2024-09-19 13:37:48
I Tatti - The Harvard University. Center For Italian Renaissance Studies,RePIM - Repertorio della Poesia Italiana in Musica,https://repim.itatti.harvard.edu/resource/repim:formSearch,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/repim-project,,2023-06-07 17:44:19,2024-11-23 10:35:43
I Tatti - The Harvard University. Center For Italian Renaissance Studies,Repim,https://repim.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2022-01-20 21:30:05,2024-11-23 10:35:43
Università di Pisa,Registri Monterosso,https://registrimonterosso.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2021-09-01 18:05:13,2024-09-15 04:10:06
Università degli studi di Padova,RDCI - Repertorio Digitale della Canzone Italiana,https://www.rdci.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/repertorio-canzone-project,,2021-06-17 07:23:58,2024-11-23 16:34:45
Bibliotheca Hertziana,Rara,https://rara.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-03-02 12:26:48,2024-12-29 21:49:56
Università di Bologna,Ragu project,https://raguproject.github.io/,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://raguproject.github.io/,FALSE,AIUCD,,,,
Bibliotheca Hertziana,Project 3d Bridge,https://wissensgeschichte.biblhertz.it/3d-bridge-html/index3D.html,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-06-25 05:33:59,2009-01-19 14:11:43
Accademia della Crusca,Progetto viver,https://testi.progettoviver.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-12-06 14:48:12,2024-11-15 00:19:51
Università di Verona,Progetto Mambrino,https://www.mambrino.it/it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,at first it works but then an error 404 appears,2019-08-22 11:12:00,2024-12-04 09:24:39
Università di Catania,Poichilia,https://poichilia.unict.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2023-01-10 23:46:29,2024-08-13 15:17:15
Università di Catania,Pirandello nazionale,https://www.pirandellonazionale.it/opere/,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://www.pirandellonazionale.it/,TRUE,AIUCD,,,2017-12-18 06:45:48,2024-06-24 16:59:26
Università di Bologna,philoeditor,http://projects.dharc.unibo.it/philoeditor/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,ongoing project,2021-12-17 00:19:11,2024-08-06 10:08:33
I Tatti - The Harvard University. Center For Italian Renaissance Studies; University of Bologna; Kunsthistoriches Institut in Florenz; Bibliotheca Hertziana,Pharos,https://pharosartresearch.org/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,access denied,2016-10-30 05:04:38,2025-01-05 00:59:40
Indiana University,Petrarchive,https://dcl.luddy.indiana.edu/petrarchive/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-12-01 12:04:27,2025-01-03 21:39:48
Bibliotheca Hertziana,Perspectiva,https://dlib.biblhertz.it/perspectiva/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,,
Università di Pisa,Pelavicino,http://pelavicino.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2015-12-25 00:43:10,2024-12-09 19:17:27
"Università degli studi di Roma ""La Sapienza""",PAThs - Archaeological Atlas of Coptic Literature,https://atlas.paths-erc.eu/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/paths-project,,2019-02-25 10:44:01,2025-01-04 07:45:15
ICAr,PARTIGIANI D'ITALIA,https://partigianiditalia.cultura.gov.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/partigiani-italia-project,,2022-12-10 14:40:07,2024-11-23 15:55:24
,Papyri.info,https://papyri.info/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-09-29 00:41:54,2025-01-05 02:58:59
"Università di Bologna, CNR, Università degli studi di Trento, Istituto di linguistica computazionale A. Zampolli , Accademia europea di Bolzano",PAISÀ corpus italiano,https://www.corpusitaliano.it/en/index.html,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/paisa-project,,2012-09-30 01:40:22,2024-06-21 17:18:31
Università di Bologna,OpenGadda,https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,,
Università di Pisa,Odonomastica Femminile,http://www.labcd.unipi.it/odonomastica-femminile/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,not working,2022-05-18 16:23:35,2024-09-14 21:35:56
Università di Bologna,odi: uno studio su il castello dei destini incrociati di italo calvino,https://projects.dharc.unibo.it/odi/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,some search filters are not working anymore,2023-11-29 02:07:18,2024-07-04 08:04:53
Università Ca' Foscari Venezia,Nuova Bilioteca Manoscritta,https://www.nuovabibliotecamanoscritta.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2006-01-10 22:55:45,2025-01-04 18:44:24
Bibliotheca Hertziana,Noack,https://db.biblhertz.it/noack/noack.xml,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-05-13 20:47:23,2024-04-30 03:08:52
