codice,progetto,istituzione
2022NEL482,Monitoring Risks in Financial Markets,Università degli studi di MACERATA
2022NKLHHT,Reconciling efficiency and equity in the Italian healthcare system ater thepandemic crisis,Università degli studi di BARI ALDO MORO
2022NZ3J4W,"Are we Fit-for-55? Climate policy, actual and perceived distribution effects in Italy",Università degli Studi di SIENA
2022P499ZB,Innovation and Iabor market dynamics,Università Cattolica delSacro Cuore
2022P85F94,Delegation with endogenous states,Università degli studi di TORINO
2022PE7cW3,"Aging, environmental sustainability, and social influence: A mulidisciplinary investigation on older consumers engagement in sustainable behaviors and susceptibility toonline market-related information",Università del SALENTO
2022PFZYBY,Organizational success factors of sustainability-oriented firms: an analysis of Italian firms in different phases of their life cycle,Università degli studi di PALERMO
2022PHJMRY,A capability-based decision support framework for circular economy transition,Università Carlo Cattaneo-LIUC
2022PXE3B7,ASYMMETRIC INFORMATION AND LIMITED COMMITMENT IN FINANCIAL MARKETS: MACROECONOMIC EFFECTS AND POLICY IMPLICATIONS,Università Ca' FoscariVENEZIA
2022PYM7EW,"Equality of opportunity and social mobility: measures, drivers and impacts",Università degli studi di BARI ALDO MORO
2022RL4WMT,Designing and Evaluating Research Funding (DERF),Università Commerciale Luigi Bocconi MILANO
2022RPXNJB,Organizing for resilience: how do networks and firms face adversities?,Università degli studi di PADOVA
2022RRBJPL,"AUTOMATION AND DIGITALIZATION IN SMEs: COMPETITION, UPSKILLING ANDLABOR POLICIES",Università degli studi di BOLOGNA
2022S2L854,Evaluating Climate Physical and Transition Risks in Italy (ECliPTIc),Scuola Superiore di  StudiUniversitari ePerfezionamento Sant'Anna
2022SA485H,The Origins of the State: Evidence from Bronze Age Mesopotamia,Università degli studi di BOLOGNA
2022T7jEL5,"Citizens and local governments response to adverse shocks: the role of politics,elections and media salience",Università degli studi di FERRARA
2022T8FXMJ,"Commodity prices, supply chain disruption, and firms financing frictions",Università degli studi di MILANO
2022TJWFWJ,"Public and Corporate Debt, Monetary Policy, and Macroeconomic Stability",Università degli studi di ROMA Tor Vergata
2022TZEXKF,Hidden Markov Models for Early Warning Systems,Università degli studi di PERUGIA
2022Tx2T3Y,Womens inclusion in innovation and entrepreneurship,Università degli studi di FOGGIA
2022W2245M,Unprecedented shocks to G-local value chains and the labor market,Università degli studi di TORINO
2022W2R55L,"TELI - Technology, labour, inequality",Università degli studi di Urbino Carlo Bo
2022W3Y5BB,"Green M&A deals, value creation and sustainability in post-acquisitionperformance",Università di  PISA
2022W8PREB,Emotional Intelligence and Policies towards the Sustainable Transition,Università degli studi di ROMA La Sapienza
2022W9W7L4,Language in Entrepreneurial Ventures,Università degli studi di MILANO-BICOCCA
2022WPxPFE,Furthering performance measurement and management systems in healthcarethrough new digital technologies,Università degli studi di MESSINA
2022WRMPsT,Rethinking Corporate Reporting as an open platform for pursuing “SustainableSuccess,Università degli studi di VERONA
2022Ws8AJY,Political Persuasion,Università degli studi di PADOVA
2022X9YPZJ,GRIS - Growing Resilient Italian SMEs,Università degli studi di TORINO
2022XJHRCJ,REWiND - Resilient Enterprises and Workers: leveraging INtangibles to addressDisruptions,Università Cattolica delSacro Cuore
2022XPJYSE,The AGILITY project: Developing and strengthening AGll high-quaLITY work,Università degli Studi di MILANO-BICOCCA
2022XXJ3CK,CHROnicall il Workers Sustainable Employment across the Lifespan (CHROWsEL),Università degli Studidel'AQUILA
2022Y3AWN5,Digitization and the inclusiveness of entrepreneurial finance,Università degli studi di BERGAMO
2022Y9wFNM,Designing government intervention in entrepreneurial finance: impact onventure capital and entrepreneurial ecosystems (GovEntFin),Università degli studi di MILANO
2022YALETF,Non-Financial disclosure and Audit Quality: Future perspectives in Italy and Europe(n-FAQ),Università degli studi di PAVIA
2022YAPBL3,Behavioral changes in the aftermath of the Covid outbreak: socio-economic consequences of a health and economic crisis.,Università degli Studi di CAGLIARI
