codice,progetto,istituzione,finanziamento
20225NZ7,Rediscovering European Integration through Legal Storytelling (REILs),Università degli studi di Napoli Federico II,261.1865563380282
20225SNKHE,CAMBIARE - Change Again: Mothers and Babies In A Right Environment.The external implementation of sentencing for women with children,Università degli studi di TORINO,240767
20225TJSY,Concept of the Rule of Law: Empirical and Analytical Research (CLEAR),Università degli studi di BOLOGNA,261.1865563380282
202274KT5X,Defensive Bureaucracy and Responsibility in the Italian Administrative System(DEBRIAS),Università degli studi della TUSCIA,309525
202277S37K,"Energy transition, interest groups, incumbent companies and alternativecoalitions: navigating the Italian energy policy between the post-pandemic recovery plan and theRussian-Ukrainian war",Università degli studi di MACERATA,297114
20227C3F48,"The Hybridization of the fight against crime through non-criminal or BORDERLINEmeasures: principles, rules, imits and opportunities for an integrated system",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,262.71
20227JP9KP,FUEL-IT : FUture gEnerations and international Law: boosting an ITalian response,Università degli studi di FIRENZE,250494
202284YHRN,"Global value chains, human rights and the law.Subtitle: The Italian, European and international path towards accountability.",Università Ca' FoscariVENEZIA,224052
202289LLXB,To Be or to Teach? To be Labour Lawyers or to Teach Labour Law. Interactionbetween Knowledge and Transfer of Knowledge through University Studies in The Field of SocialScience,Università degli Studi di GENOVA,281644
202289MEPH,"Migration and Religion in International Law (MiRelL).Research-based Proposals for Inclusive, Resilient, and Multicultural Societies.",Università degli studi di TRIESTE,373234
20228E3T44,S.0.S. MOBlILITY - Smart and/Or Sustainable Mobility: when is smart mobilitysustainable for consumers and SMEs?,Università degli studi di BOLOGNA,285684
20228K2MT4,RITE - Responsibility In Technological Ecosystem,Università degli studi di PAVIA,256852
20229FBYXS,Next Generation PA: Digital Transformation For An Innovative PublicAdministration-NgPA,Università degli studi di FERRARA,293484
20229RRCJW,"SUsPECTs - StUdying SuPply, demand, and Endorsement of Conspiracy Theoriesin six European countries",Università degli studi di TORINO,273766
20229W5P3X,"Health, security and human rights in e-sports: plural approaches towards legalsolutions.",Università degli studi di PARMA,147506
20229ZC93K,Analyzing Regime CHange Évolutions (ARCHÉ),Università degli studi di Napoli Federico II,224784
2022A7X849,Reconceptualising immigration: from exceptionality to normality,Università degli studi di GENOVA,275.78200000000004
2022ABWLJA,REPLAN-EU Explaining the formulation and implementation of Recovery andResilience Plans in Europe: a comparative approach,Università degli studi di BOLOGNA,189266
2022AJ2PR9,Territorial Disparities and NRRP: the Development of National Reforms andRegional Policies in the Light of the Next Generation EU,Università degli studi di ROMA La Sapienza,314137
2022AJA5NS,Shields and bridges: Immunity of International organizations and the diversity oflegal systems,Università degli Studi di ROMA La Sapienza,161379
2022BEZENP,State CApture and Legal POlitical corruption in Italy (Acronym SCALPO),Università di  PISA,268.67
2022BFN5KR,New Conflicts Mapping in the age of Globalization (NEWCOMING),Università degli studi di SIENA,315.08
2022BXT5HR,Framing National Human Rights Institutions: European and ComparativeInterplays (FRAME),Università Commerciale Luigi Bocconi MILANO,256.36400000000003
2022C9STMM,PA-LIVESPublic Administration and Legal Instruments for Valuing Ecosystem Services,Università Commerciale Luigi Bocconi MILANO,213505
